,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
155,tt5958028,video,Keith and the Captain: On Set with Johnny and the Rock Legend,Keith and the Captain: On Set with Johnny and the Rock Legend,0,2007.0,,5.0,[],6.8,6
160,tt0042212,movie,"Auf der Alm, da gibt's ka Sünd'","Auf der Alm, da gibt's ka Sünd'",0,1950.0,,92.0,[],5.0,20
161,tt1869890,tvEpisode,The Riddle,The Riddle,0,2010.0,,28.0,[],7.0,5
162,tt3619630,tvEpisode,Certified Guaranty,Certified Guaranty,0,2014.0,,21.0,"['Comedy', 'Reality-TV']",7.5,46
164,tt0464049,movie,The History Boys,The History Boys,0,2006.0,,109.0,"['Comedy', 'Drama', 'Romance']",6.8,19858
165,tt1084945,short,Alter Ego,Alter Ego,0,2007.0,,11.0,[],5.9,9
166,tt8095076,movie,Snu,Snu,0,2019.0,,94.0,[],6.6,354
167,tt0080094,movie,Lovers and Liars,Viaggio con Anita,0,1979.0,,120.0,[],4.8,406
168,tt0084726,movie,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan,0,1982.0,,113.0,"['Action', 'Adventure', 'Sci-Fi']",7.7,109000
170,tt0744217,tvEpisode,Pairing,Pairing,0,1989.0,,30.0,[],8.6,5
171,tt2614342,movie,White Panther,White Panther,0,2013.0,,89.0,"['Drama', 'Sport']",6.5,61
173,tt1729622,tvSeries,Los únicos,Los únicos,0,2011.0,,60.0,"['Action', 'Comedy', 'Romance']",6.3,95
174,tt6953162,short,When the Sky Began to Scream,When the Sky Began to Scream,0,2017.0,,15.0,"['Horror', 'Mystery', 'Short']",8.9,9
175,tt2831378,movie,Tough Ain't Enough: Conversations with Albert S. Ruddy,Tough Ain't Enough: Conversations with Albert S. Ruddy,0,2013.0,,53.0,"['Biography', 'Documentary']",9.0,6
176,tt0629562,tvEpisode,Prisoner,Prisoner,0,2005.0,,44.0,"['Crime', 'Drama', 'Mystery']",8.2,169
177,tt4118588,tvEpisode,DannyDonnieJoeyJonJordan,DannyDonnieJoeyJonJordan,0,2015.0,,21.0,[],8.4,302
179,tt0502686,tvEpisode,Indecent Dick,Indecent Dick,0,1998.0,,22.0,"['Comedy', 'Family', 'Sci-Fi']",8.0,197
180,tt0505465,tvEpisode,The Addams Policy,The Addams Policy,0,1966.0,,25.0,"['Comedy', 'Family', 'Horror']",7.7,99
181,tt6951870,movie,Drowning,Drowning,0,2019.0,,85.0,[],6.0,21
